# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097410812119961e+09,6.254853916664294666e+05,5.041726388360545970e+06,2.673999977111816406e+01
1.536097410860052586e+09,6.254854173172347946e+05,5.041726388503406197e+06,2.670999908447265625e+01
1.536097410909585476e+09,6.254858426675271476e+05,5.041726561875115149e+06,2.590999984741210938e+01
1.536097410958578348e+09,6.254858646925885696e+05,5.041726567502478138e+06,2.588999938964843750e+01
1.536097411005177736e+09,6.254852034420692362e+05,5.041726950672952458e+06,2.559000015258789062e+01
1.536097411048552990e+09,6.254859797466583550e+05,5.041726557579452172e+06,2.580999946594238281e+01
1.536097411133989573e+09,6.254858210976601113e+05,5.041726474938547239e+06,2.617000007629394531e+01
1.536097411181282997e+09,6.254858383911995916e+05,5.041726469727570191e+06,2.619000053405761719e+01
1.536097411230457067e+09,6.254858483424177393e+05,5.041726453996478580e+06,2.621999931335449219e+01
1.536097411278412104e+09,6.254858695985326776e+05,5.041726472019219771e+06,2.619000053405761719e+01
1.536097411327729225e+09,6.254858734989600489e+05,5.041726459316039458e+06,2.622999954223632812e+01
